ranking,name,wealth,wealth_change,ranking_change,company,company_en,headquarters,industry,industry_en,relations,gender,age,birthday,nationality,birth_place,permanent_place,education,school,native_place,wealth_numeric,age_numeric,industry_clean,location_clean
45,张聪渊,720.0,24%,26,华利实业,Huali Industrial,广东中山,鞋业,Footwear,家族,先生,76,1948-01-01,198,中国-台湾-桃园,中国-广东-中山,,,,720.0,76,鞋业,广东中山
46,刘汉元、管亚梅,700.0,-26%,-15,通威,Tongwei,四川成都,新能源、农业,"New Energy, Agriculture",夫妇,先生,60,1964-01-01,198,中国-四川-眉山,中国-四川-成都,,,中国-四川-成都,700.0,60,新能源、农业,四川成都
47,林百里,695.0,10%,12,广达电脑,Quanta Computer,台湾桃园,消费电子产品,Consumer and Industry Electronics,家族,先生,75,1949-01-01,198,中国-上海,中国-台湾-桃园,,,,695.0,75,消费电子产品,台湾桃园
48,刘永好,690.0,-20%,-11,新希望,New Hope,四川成都,农业、化工、金融,"Agriculture, Finance",家族,先生,73,1951-09-01,198,中国-四川-成都,中国-四川-成都,,,中国-四川-成都,690.0,73,农业、化工、金融,四川成都
49,蔡崇信,680.0,42%,37,阿里系,Alibaba,浙江杭州,电子商务、金融科技,"E-Commerce, Fintech",未知,先生,60,1964-01-01,198,中国-台湾,中国-香港,,,,680.0,60,电子商务、金融科技,浙江杭州
50,陈东升,670.0,-4%,0,泰康,Taikang,北京,保险,Insurance,家族,先生,67,1957-12-01,198,中国-湖北-荆门,中国-北京,博士,武大、武大,中国-湖北-天门,670.0,67,保险,北京
50,项光达,670.0,97%,94,青山控股,Tsingshan,浙江温州,钢铁,Steel,未知,先生,66,1958-01-01,198,中国-浙江-温州,中国-浙江-温州,,,,670.0,66,钢铁,浙江温州
50,于泳,670.0,6%,9,鸿商产业,Cathay Fortune,上海浦东,钼矿,Molybdenum Minerals,未知,先生,未知,1900-01-01,198,,中国-上海,,,,670.0,0,钼矿,上海浦东
50,张国华,670.0,38%,35,长荣集团,Evergreen,台湾台北,物流、钢铁,"Logistics,Iron",家族,先生,69,1955-01-01,198,中国-台湾-台北,中国-台湾-台北,,,中国-台湾-台北,670.0,69,物流、钢铁,台湾台北
54,邝肖卿,665.0,-8%,-8,新鸿基,Sun Hung Kai,香港,房地产,Estate Holding,未知,女士,95,1929-01-01,198,中国-香港,中国-香港,,,中国-广东-广州,665.0,95,房地产,香港
55,孙飘扬,650.0,7%,9,恒瑞,Hengrui,江苏连云港,医药,Pharmaceuticals,未知,先生,66,1958-04-01,198,中国-江苏-镇江,中国-上海,硕士,中国药科、南大,中国-江苏-镇江,650.0,66,医药,江苏连云港
56,周群飞、郑俊龙,635.0,40%,36,蓝思科技,Lens,湖南长沙,电子器件制造,Manufacturing,夫妇,女士,54,1970-01-01,198,中国-湖南-湘潭,中国-湖南-长沙,,,中国-湖南-长沙,635.0,54,电子器件制造,湖南长沙
57,王来胜、王雅媛,630.0,17%,19,立讯精密,Luxshare Precision,广东深圳,消费电子,Consumer Electronics,父女,先生,60,1964-01-01,198,中国-广东-汕头,中国-广东-深圳,,,,630.0,60,消费电子,广东深圳
57,徐浩宇,630.0,5%,9,扬子江药业,Yangtze River Pharmacy,江苏泰州,医药,Pharmaceuticals,家族,先生,52,1972-01-01,198,中国-江苏-泰州,中国-江苏-泰州,,,中国-江苏-泰州,630.0,52,医药,江苏泰州
59,王来春,620.0,17%,18,立讯精密,Luxshare Precision,广东深圳,消费电子,Consumer Electronics,未知,女士,57,1967-01-01,198,中国-广东-汕头,中国-广东-深圳,,,,620.0,57,消费电子,广东深圳
59,朱保国,620.0,-3%,-1,健康元,Joint Care,广东深圳,医药,Pharmaceuticals,家族,先生,62,1962-01-01,198,中国-河南-新乡,中国-广东-深圳,硕士,河南师范、中央党校,,620.0,62,医药,广东深圳
61,龚虹嘉、陈春梅,615.0,-13%,-14,海康威视,Hikvision,浙江杭州,视频监控产品,Video Surveillance Products,夫妇,先生,59,1965-01-01,198,,中国-香港,本科,华中科技,,615.0,59,视频监控产品,浙江杭州
62,岑均达,610.0,22%,17,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,医药,Pharmaceuticals,未知,先生,未知,1900-01-01,198,,中国-江苏-连云港,,,,610.0,0,医药,江苏连云港
63,梁稳根、梁在中,600.0,-15%,-16,三一,Sany,北京,重型机械,Heavy Machinery,父子,先生,68,1956-12-01,198,中国-湖南-娄底,中国-湖南-长沙,本科,中南,中国-湖南-娄底,600.0,68,重型机械,北京
63,王玉锁、赵宝菊,600.0,9%,12,新奥,ENN,河北廊坊,天然气、能源化工,"Gas, Energy",夫妇,先生,60,1964-03-01,198,中国-河北-廊坊,中国-河北-廊坊,硕士,人大、天津财经,中国-河北-廊坊,600.0,60,天然气、能源化工,河北廊坊
65,陈天桥、雒芊芊,590.0,11%,12,盛大,Shanda,上海浦东,投资,Investments,夫妇,先生,51,1973-05-01,198,中国-浙江-绍兴,新加坡,本科,复旦,中国-浙江-绍兴,590.0,51,投资,上海浦东
65,汪俊林,590.0,-17%,-18,郎酒,Langjiu,四川成都,白酒,Liquor,未知,先生,62,1962-10-01,198,中国-四川-眉山,中国-四川-成都,本科,泸州医,中国-四川-眉山,590.0,62,白酒,四川成都
67,杜双华,575.0,1%,6,日照钢铁,Rizhao Iron and Steel,山东日照,钢铁,Steel,未知,先生,59,1965-11-01,198,中国-河北-衡水,中国-山东-日照,,,中国-河北-衡水,575.0,59,钢铁,山东日照
68,陈丽华,550.0,-5%,3,富华,Fu Wah,北京,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",未知,女士,83,1941-01-01,198,中国-北京,中国-北京,博士,美国佐治亚州萨凡那艺术设计学院荣誉博士,中国-北京,550.0,83,房地产、紫檀博物馆,北京
68,李水荣,550.0,-19%,-15,荣盛控股,RongSheng,浙江杭州,化纤,Chemical Fibres,未知,先生,68,1956-01-01,198,中国-浙江,中国-浙江-杭州,,,,550.0,68,化纤,浙江杭州
70,张勇、舒萍,540.0,-28%,-25,海底捞,HaiDiLao,北京,餐饮,Restaurants,夫妇,先生,53,1971-01-01,198,中国-四川-成都,新加坡,,,,540.0,53,餐饮,北京
71,李彦宏、马东敏,525.0,-36%,-32,百度,Baidu,北京,网络信息服务,Internet Information Services,夫妇,先生,56,1968-11-01,198,中国-山西-阳泉,中国-北京,硕士,北大、布法罗纽约州立,中国-河北-邢台,525.0,56,网络信息服务,北京
72,曹仁贤、苏蕾,520.0,8%,14,阳光电源,Sungrow Power Supply,安徽合肥,光伏设备,Electric Equipment and Machinery,夫妇,先生,56,1968-07-01,198,中国-浙江-杭州,中国-安徽-合肥,硕士,,,520.0,56,光伏设备,安徽合肥
72,刘强东、章泽天,520.0,-13%,-6,京东,JD,北京,电子商务、金融,"E-Commerce, Financial Services",夫妇,先生,50,1974-02-01,198,中国-江苏-宿迁,中国-北京,本科,人大,中国-江苏-宿迁,520.0,50,电子商务、金融,北京
74,林木勤、林煜鹏,510.0,17%,34,东鹏饮料,Eastroc Beverage,广东深圳,食品饮料,Food & Beverages,父子,先生,60,1964-01-01,198,中国-广东-深圳,中国-广东-深圳,,,,510.0,60,食品饮料,广东深圳
74,朱义,510.0,89%,114,百利天恒,Biokin Pharmaceutical,四川成都,医药,Pharmaceuticals,未知,先生,61,1963-01-01,198,,中国-成都,,,,510.0,61,医药,四川成都
76,汪立平,500.0,-18%,-12,恒立液压,Hengli Hydraulic,江苏常州,高压油缸,Oil Cylinder,家族,先生,58,1966-02-01,198,中国-江苏-无锡,中国-江苏-常州,,,中国-江苏-无锡,500.0,58,高压油缸,江苏常州
76,许仰天,500.0,0%,3,希音,Shein,广东广州,电商,E-Commerce,未知,先生,40,1984-01-01,198,山东-淄博,中国-广东-广州,,青岛科技大学-本科,山东-淄博,500.0,40,电商,广东广州
76,严昕,500.0,6%,13,苏商,Susun,上海,基础设施建设,Roads,未知,女士,41,1983-01-01,198,中国-江苏-淮安,中国-江苏-淮安,,,,500.0,41,基础设施建设,上海
79,林斌,490.0,42%,61,小米,Xiaomi,北京,智能硬件与技术,IoT,未知,先生,56,1968-01-01,198,,中国-北京,硕士,中山大学、Drexel Universit,,490.0,56,智能硬件与技术,北京
79,罗立国,490.0,-18%,-13,合盛,Hoshine,浙江宁波,硅材料,Silicon,家族,先生,68,1956-03-01,198,中国-浙江-宁波,中国-浙江-宁波,,,,490.0,68,硅材料,浙江宁波
79,吴亚军,490.0,-26%,-22,龙湖,Longfor,北京,房地产,Real Estate,家族,女士,60,1964-02-01,198,中国-重庆,中国-北京,本科,西北工业,中国-重庆,490.0,60,房地产,北京
82,裴振华、容建芬,480.0,-23%,-19,天华超净,Canmax,江苏苏州,超净产品,Industrial Products,夫妇,先生,未知,1900-01-01,198,,中国-江苏-苏州,,,,480.0,0,超净产品,江苏苏州
82,许世辉,480.0,4%,9,达利食品,Dali Foods,福建泉州,食品,Food,家族,先生,67,1957-01-01,198,中国-福建-泉州,中国-福建-泉州,,,,480.0,67,食品,福建泉州
84,蔡明兴,460.0,33%,56,富邦,Fubon,台湾台北,金融服务,Financial Services,家族,先生,67,1957-06-02,198,中国-台湾,中国-台湾-台北,,,中国-福建-泉州,460.0,67,金融服务,台湾台北
84,陈邦,460.0,-43%,-44,爱尔眼科,Aier Ophthalmology,湖南长沙,医疗服务,Medical Services,未知,先生,59,1965-09-01,198,中国-湖南-长沙,中国-湖南-长沙,硕士,,中国-湖南-长沙,460.0,59,医疗服务,湖南长沙
86,黄楚龙,450.0,-8%,-2,星河,Galaxy,广东深圳,房地产、投资,"Real Estate, Investments",家族,先生,65,1959-01-01,198,中国-广东-揭阳,中国-广东-深圳,,,中国-广东-揭阳,450.0,65,房地产、投资,广东深圳
86,李华,450.0,-33%,-31,卓越,Excellence,广东深圳,房地产,Real Estate,未知,先生,58,1966-01-01,198,中国-四川,中国-广东-深圳,本科,华南理工,,450.0,58,房地产,广东深圳
88,蔡明忠,440.0,38%,67,富邦,Fubon,台湾台北,金融服务,Financial Services,家族,先生,68,1956-04-25,198,中国-台湾,中国-台湾-台北,,,中国-福建-泉州,440.0,68,金融服务,台湾台北
88,谢青,440.0,24%,42,飞塔,Fortinet,美国旧金山,网路安全,Network Security,未知,先生,未知,1900-01-01,198,中国-北京,美国-旧金山,硕士,斯坦福大学,,440.0,0,网路安全,美国旧金山
90,李天颖,435.0,-4%,2,新鸿基,Sun Hung Kai,香港,房地产,Estate Holding,家族,先生,未知,1900-01-01,198,中国-香港,中国-香港,,,中国-香港,435.0,0,房地产,香港
90,米高·嘉道理,435.0,6%,23,中电,CLP,香港,能源,Energy,家族,先生,83,1941-01-01,198,中国-香港,中国-香港,,,,435.0,83,能源,香港
92,陈贤哲,430.0,-4%,5,北极星,Polaris,台湾台北,投资,Investments,家族,先生,71,1953-01-01,198,中国-台湾,中国-台湾-台北,,,,430.0,71,投资,台湾台北
92,张虔生,430.0,21%,38,日月光,ASE,台湾高雄,工业品、房地产,"Industrial Products, Real Estate",家族,先生,80,1944-05-01,198,中国-台湾,中国-台湾-高雄,,,中国-浙江-温州,430.0,80,工业品、房地产,台湾高雄
94,虞仁荣,425.0,-4%,8,韦尔股份,Will,上海浦东,半导体,Semiconductors,未知,先生,58,1966-01-01,198,,中国-上海,本科,清华,,425.0,58,半导体,上海浦东
95,蔡宏图,420.0,29%,55,霖园,Lin Yuan,台湾台北,金融服务,Financial Services,家族,先生,72,1952-08-01,198,中国-台湾,中国-台湾-台北,,,中国-福建-泉州,420.0,72,金融服务,台湾台北
95,杨惠妍,420.0,-13%,-9,碧桂园,Country Garden,广东佛山,投资、房地产、教育,"Investments, Real Estate, Education",家族,女士,43,1981-01-01,198,中国-广东-佛山,中国-广东-佛山,本科,俄亥俄州立,中国-广东-佛山,420.0,43,投资、房地产、教育,广东佛山
97,沈国军,415.0,-34%,-38,银泰,Yintai,北京,零售、房地产、物流,"Retail, Real Estate, Logistics",家族,先生,62,1962-08-01,198,中国-浙江-宁波,中国-北京,硕士,中南财经,中国-浙江-宁波,415.0,62,零售、房地产、物流,北京
97,宋建波,415.0,11%,26,南山,Nanshan,山东烟台,铝业、纺织、房地产,"Aluminium, Apparel, Real Estate",家族,先生,54,1970-01-01,198,中国-山东-烟台,中国-山东-烟台,,,中国-山东-烟台,415.0,54,铝业、纺织、房地产,山东烟台
99,霍斯特·帕德威尔,410.0,34%,66,创科实业,TTI,香港,消费品,Consumer Goods,家族,先生,79,1945-01-01,198,中国-香港,中国-香港,,,,410.0,79,消费品,香港
99,鲁伟鼎,410.0,-7%,6,万向,Wanxiang,浙江杭州,汽车制造业、房地产、农业,"Car parts, real estate, agriculture",家族,先生,53,1971-03-01,198,中国-浙江-杭州,中国-浙江-杭州,,,,410.0,53,汽车制造业、房地产、农业,浙江杭州
99,其实,410.0,-32%,-33,东方财富,Eastmoney,上海徐汇,信息服务,Data Services,家族,先生,54,1970-10-01,198,中国-上海,中国-上海,博士,上交大、复旦,中国-上海,410.0,54,信息服务,上海徐汇
99,阮立平,410.0,-7%,6,公牛,Gong Niu Group,浙江宁波,插座,Power Strip,未知,先生,60,1964-01-01,0,,中国-宁波,,,,410.0,60,插座,浙江宁波
103,方威,405.0,-36%,-44,方大,Fangda,北京,碳素、钢铁、煤焦,"Carbon, Steel, Coal",未知,先生,51,1973-09-01,198,中国-辽宁-沈阳,中国-北京,,,中国-辽宁-沈阳,405.0,51,碳素、钢铁、煤焦,北京
103,蒋仁生,405.0,-40%,-50,智飞生物,Zhifei,重庆,疫苗,Vaccines,家族,先生,71,1953-10-01,198,中国-广西-桂林,中国-重庆,,,中国-广西-桂林,405.0,71,疫苗,重庆
103,阮学平,405.0,-8%,2,公牛,Gong Niu Group,浙江宁波,插座,Power Strip,未知,先生,52,1972-01-01,0,,中国-宁波,,,,405.0,52,插座,浙江宁波
103,朱孟依,405.0,-11%,-11,合生创展,Hopson,广东广州,房地产、投资,Real Estate,家族,先生,65,1959-01-01,198,中国-广东-梅州,中国-广东-广州,,,中国-广东-梅州,405.0,65,房地产、投资,广东广州
107,蔡衍明,400.0,-7%,2,旺旺,Want Want,台湾台北,食品和饮料,Food & Beverages,家族,先生,67,1957-12-27,198,中国-台湾-台北,中国-台湾-台北,,,中国-福建-泉州,400.0,67,食品和饮料,台湾台北
107,丁世忠,400.0,-10%,-5,安踏,Anta,福建厦门,体育用品,Sportswear,未知,先生,54,1970-01-01,198,中国-福建-泉州,中国-福建-厦门,,,,400.0,54,体育用品,福建厦门
107,赖海民,400.0,-20%,-28,鸿荣源,Horoy,广东深圳,房地产,Real Estate,未知,先生,58,1966-01-01,198,中国-广东-揭阳,中国-广东-深圳,,,中国-广东-揭阳,400.0,58,房地产,广东深圳
107,刘伟,400.0,8%,19,米哈游,Mihoyo,上海,游戏,Online games,未知,先生,37,1987-01-01,198,,中国-上海,,,,400.0,37,游戏,上海
107,苏海文,400.0,4%,11,BW,BW Group,香港,物流,Logistics,家族,先生,83,1941-01-01,198,奥地利,中国-香港,,,,400.0,83,物流,香港
112,王旭宁,395.0,126%,201,JS环球生活,JS Global Life,香港,小家电,Household Appliances,未知,先生,55,1969-03-01,198,中国-北京,中国-上海,硕士,北交大、中欧,中国-北京,395.0,55,小家电,香港
113,谢华,390.0,24%,46,飞塔,Fortinet,美国旧金山,网路安全,Network Security,未知,先生,未知,1900-01-01,198,中国-北京,美国-旧金山,硕士,曼尼托巴大学,,390.0,0,网路安全,美国旧金山
114,蔡政达,385.0,28%,53,霖园,Lin Yuan,台湾台北,金融服务,Financial Services,家族,先生,未知,1900-01-01,198,中国-台湾,中国-台湾-台北,,,中国-福建-泉州,385.0,0,金融服务,台湾台北
114,李平,385.0,-23%,-35,宁德时代,CATL,福建宁德,锂电池,Battery Technology,未知,先生,56,1968-01-01,198,,中国-福建-宁德,本科,复旦,,385.0,56,锂电池,福建宁德
116,曾芳勤,380.0,38%,68,领益智造,Lingyi Itech,广东江门,消费电子精密件,Electronic Components,未知,女士,59,1965-12-01,198,,中国-广东-深圳,,,,380.0,59,消费电子精密件,广东江门
116,丁世家,380.0,-11%,-6,安踏,Anta,福建厦门,体育用品,Sportswear,未知,先生,60,1964-01-01,198,中国-福建-泉州,中国-福建-厦门,,,,380.0,60,体育用品,福建厦门
116,罗宇皓,380.0,9%,21,米哈游,Mihoyo,上海,游戏,Online games,未知,先生,37,1987-01-01,198,,中国-上海,,,,380.0,37,游戏,上海
116,沈彬,380.0,-1%,2,沙钢,Sha Steel,江苏苏州,钢铁,Steel,未知,未知,未知,1900-01-01,198,中国-浙江-杭州,江苏苏州,本科,中国地址大学,江苏苏州,380.0,0,钢铁,江苏苏州
120,李小冬,375.0,92%,154,冬海集团,Sea,新加坡,网络游戏、电商,"Online Games, E-Commerce",未知,先生,46,1978-01-01,198,,新加坡,,,,375.0,46,网络游戏、电商,新加坡
120,谢炳,375.0,6%,10,中生制药,Sino Biopharmaceutical,北京,医药,Pharmaceuticals,家族,先生,72,1952-01-01,198,中国-广东-汕头,中国-香港,,,中国-广东-汕头,375.0,72,医药,北京
122,高德康,370.0,19%,40,波司登,Bosideng,江苏苏州,服装,Apparel,家族,先生,72,1952-01-01,198,中国-江苏-苏州,中国-江苏-苏州,,,中国-江苏-苏州,370.0,72,服装,江苏苏州
122,马建荣,370.0,-17%,-20,申洲针织,Shenzhou,浙江宁波,纺织、服装,Textiles,家族,先生,59,1965-01-01,198,中国-浙江,中国-浙江-宁波,,,,370.0,59,纺织、服装,浙江宁波
